experiment,axis_sweep,op,dimension,density,sparse_factor,buffer_size,timing_source,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,n,median_us,median_ms,min_us,max_us,speedup_cpu_over_gpu,gpu_tiles_median,gpu_tiles_min,gpu_tiles_max,gpu_oom_backoffs_median,gpu_oom_backoffs_min,gpu_oom_backoffs_max,gpu_host_fallback_median,gpu_host_fallback_min,gpu_host_fallback_max,gpu_input_rects_median,gpu_input_rects_min,gpu_input_rects_max,gpu_scratch_bytes_median,gpu_scratch_bytes_min,gpu_scratch_bytes_max
tile_sweep_dense_axes,log_axis,image,2d,dense,1,40,gpu_source,2,2,1000,1000,4,1,3,3315,3.315,3306,3513,75.5131221719457,1,1,1,0,0,0,0,0,0,1,1,1,770000051,770000051,770000051
tile_sweep_dense_axes,log_axis,image,2d,dense,1,50,cpu_source,2,2,1000,1000,4,1,3,250054,250.054,250025,251143,80.58459555269094,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,50,gpu_source,2,2,1000,1000,4,1,3,3103,3.103,3073,3125,80.58459555269094,1,1,1,0,0,0,0,0,0,1,1,1,962000064,962000064,962000064
tile_sweep_dense_axes,log_axis,image,2d,dense,1,75,cpu_source,2,2,1000,1000,4,1,3,250540,250.54,249062,254695,76.97081413210445,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,75,gpu_source,2,2,1000,1000,4,1,3,3255,3.255,3190,3298,76.97081413210445,1,1,1,0,0,0,0,0,0,1,1,1,1442000096,1442000096,1442000096
tile_sweep_dense_axes,log_axis,image,2d,dense,1,100,cpu_source,2,2,1000,1000,4,1,3,250715,250.715,249991,260175,76.48413666870043,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,100,gpu_source,2,2,1000,1000,4,1,3,3278,3.278,3222,3381,76.48413666870043,1,1,1,0,0,0,0,0,0,1,1,1,1922000128,1922000128,1922000128
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,1,cpu_source,2,2,1000,1000,4,1,3,20100234,20100.234,20026146,20133737,9710.257971014493,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,1,gpu_source,2,2,1000,1000,4,1,3,2070,2.07,2028,2107,9710.257971014493,1,1,1,0,0,0,0,0,0,1,1,1,38202417,38202417,38202417
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,2,cpu_source,2,2,1000,1000,4,1,3,20020335,20020.335,19953429,20039389,9867.094627895514,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,2,gpu_source,2,2,1000,1000,4,1,3,2029,2.029,2002,2120,9867.094627895514,1,1,1,0,0,0,0,0,0,1,1,1,57460707,57460707,57460707
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,3,cpu_source,2,2,1000,1000,4,1,3,20124956,20124.956,20055629,20180405,9360.44465116279,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,3,gpu_source,2,2,1000,1000,4,1,3,2150,2.15,2086,2370,9360.44465116279,1,1,1,0,0,0,0,0,0,1,1,1,76718996,76718996,76718996
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,4,cpu_source,2,2,1000,1000,4,1,3,19935608,19935.608,19923937,20008789,9654.047457627119,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,4,gpu_source,2,2,1000,1000,4,1,3,2065,2.065,2059,2198,9654.047457627119,1,1,1,0,0,0,0,0,0,1,1,1,95977286,95977286,95977286
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,5,cpu_source,2,2,1000,1000,4,1,3,20124003,20124.003,20062091,20145151,9528.410511363636,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,5,gpu_source,2,2,1000,1000,4,1,3,2112,2.112,2110,2521,9528.410511363636,1,1,1,0,0,0,0,0,0,1,1,1,115235576,115235576,115235576
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,7,cpu_source,2,2,1000,1000,4,1,3,19953681,19953.681,19948137,19964082,9625.509406657018,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,7,gpu_source,2,2,1000,1000,4,1,3,2073,2.073,2004,2095,9625.509406657018,1,1,1,0,0,0,0,0,0,1,1,1,153752155,153752155,153752155
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,10,cpu_source,2,2,1000,1000,4,1,3,20062563,20062.563,20024544,20117209,9436.7652869238,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,10,gpu_source,2,2,1000,1000,4,1,3,2126,2.126,2034,2153,9436.7652869238,1,1,1,0,0,0,0,0,0,1,1,1,211527024,211527024,211527024
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,15,cpu_source,2,2,1000,1000,4,1,3,19945541,19945.541,19906140,19958023,9820.551944854751,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,15,gpu_source,2,2,1000,1000,4,1,3,2031,2.031,2003,2048,9820.551944854751,1,1,1,0,0,0,0,0,0,1,1,1,307818472,307818472,307818472
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,20,cpu_source,2,2,1000,1000,4,1,3,20061077,20061.077,20045674,20137744,9584.843287147634,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,20,gpu_source,2,2,1000,1000,4,1,3,2093,2.093,2043,2113,9584.843287147634,1,1,1,0,0,0,0,0,0,1,1,1,404109920,404109920,404109920
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,25,cpu_source,2,2,1000,1000,4,1,3,19950160,19950.16,19935051,19997413,9793.892979872362,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,25,gpu_source,2,2,1000,1000,4,1,3,2037,2.037,2030,2174,9793.892979872362,1,1,1,0,0,0,0,0,0,1,1,1,500401368,500401368,500401368
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,30,cpu_source,2,2,1000,1000,4,1,3,20085536,20085.536,20019494,20114203,9492.219281663516,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,30,gpu_source,2,2,1000,1000,4,1,3,2116,2.116,2075,2139,9492.219281663516,1,1,1,0,0,0,0,0,0,1,1,1,596692816,596692816,596692816
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,40,cpu_source,2,2,1000,1000,4,1,3,19947892,19947.892,19944669,20011412,10014.002008032128,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,40,gpu_source,2,2,1000,1000,4,1,3,1992,1.992,1981,2166,10014.002008032128,1,1,1,0,0,0,0,0,0,1,1,1,789275712,789275712,789275712
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,50,cpu_source,2,2,1000,1000,4,1,3,20108468,20108.468,20051032,20177679,9570.90337934317,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,50,gpu_source,2,2,1000,1000,4,1,3,2101,2.101,2083,2135,9570.90337934317,1,1,1,0,0,0,0,0,0,1,1,1,981858608,981858608,981858608
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,75,cpu_source,2,2,1000,1000,4,1,3,19940482,19940.482,19916637,19942018,9665.769268056229,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,75,gpu_source,2,2,1000,1000,4,1,3,2063,2.063,1995,2065,9665.769268056229,1,1,1,0,0,0,0,0,0,1,1,1,1463315848,1463315848,1463315848
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,100,cpu_source,2,2,1000,1000,4,1,3,20066230,20066.23,19996262,20122012,9376.742990654206,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,sparse,5,100,gpu_source,2,2,1000,1000,4,1,3,2140,2.14,2042,2364,9376.742990654206,1,1,1,0,0,0,0,0,0,1,1,1,1944773088,1944773088,1944773088
tile_sweep_dense_axes,log_axis,image,3d,dense,1,1,cpu_source,3,3,100,100,4,1,3,4611967,4611.967,4572285,4614862,4.449334910356644,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,3d,dense,1,1,gpu_source,3,3,100,100,4,1,3,1036552,1036.552,1030412,1038510,4.449334910356644,32,32,32,104,104,104,1,1,1,32,32,32,27600001,27600001,27600001
tile_sweep_dense_axes,log_axis,image,3d,dense,1,2,cpu_source,3,3,100,100,4,1,3,4618562,4618.562,4613990,4632116,3.1113223397153265,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,3d,dense,1,2,gpu_source,3,3,100,100,4,1,3,1484437,1484.437,1481935,1488199,3.1113223397153265,16,16,16,39,39,39,1,1,1,16,16,16,53200003,53200003,53200003
tile_sweep_dense_axes,log_axis,image,3d,dense,1,3,cpu_source,3,3,100,100,4,1,3,4567598,4567.598,4555751,4580430,3.246183728280174,,,,,,,,,,,,,,,
