experiment,op,dimension,density,sparse_factor,buffer_size,repeat,timing_source,time_us,time_ms,selected_field,gpu_tiles,gpu_oom_backoffs,gpu_host_fallback,gpu_input_rects,gpu_scratch_bytes,tile_rows_seen,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,global_index,shard_id,field_mode,block_volume
tile_sweep_publication,image,2d,sparse,5,15,1,cpu_source,19958023,19958.023,cpu_us,,,,,,,2,2,1000,1000,4,1,104,0,block_random,1024
tile_sweep_publication,image,2d,sparse,5,15,1,gpu_source,2048,2.048,gpu_us,1,0,0,1,307818472,2,2,2,1000,1000,4,1,105,1,block_random,1024
tile_sweep_publication,image,2d,sparse,5,20,1,cpu_source,20045674,20045.674,cpu_us,,,,,,,2,2,1000,1000,4,1,106,2,block_random,1024
tile_sweep_publication,image,2d,sparse,5,20,1,gpu_source,2043,2.043,gpu_us,1,0,0,1,404109920,2,2,2,1000,1000,4,1,107,3,block_random,1024
tile_sweep_publication,image,2d,sparse,5,25,1,cpu_source,19935051,19935.051,cpu_us,,,,,,,2,2,1000,1000,4,1,108,0,block_random,1024
tile_sweep_publication,image,2d,sparse,5,25,1,gpu_source,2037,2.037,gpu_us,1,0,0,1,500401368,2,2,2,1000,1000,4,1,109,1,block_random,1024
tile_sweep_publication,image,2d,sparse,5,30,1,cpu_source,20085536,20085.536,cpu_us,,,,,,,2,2,1000,1000,4,1,110,2,block_random,1024
tile_sweep_publication,image,2d,sparse,5,30,1,gpu_source,2075,2.075,gpu_us,1,0,0,1,596692816,2,2,2,1000,1000,4,1,111,3,block_random,1024
tile_sweep_publication,image,2d,sparse,5,40,1,cpu_source,19944669,19944.669,cpu_us,,,,,,,2,2,1000,1000,4,1,112,0,block_random,1024
tile_sweep_publication,image,2d,sparse,5,40,1,gpu_source,1992,1.992,gpu_us,1,0,0,1,789275712,2,2,2,1000,1000,4,1,113,1,block_random,1024
tile_sweep_publication,image,2d,sparse,5,50,1,cpu_source,20108468,20108.468,cpu_us,,,,,,,2,2,1000,1000,4,1,114,2,block_random,1024
tile_sweep_publication,image,2d,sparse,5,50,1,gpu_source,2135,2.135,gpu_us,1,0,0,1,981858608,2,2,2,1000,1000,4,1,115,3,block_random,1024
tile_sweep_publication,image,2d,sparse,5,75,1,cpu_source,19940482,19940.482,cpu_us,,,,,,,2,2,1000,1000,4,1,116,0,block_random,1024
tile_sweep_publication,image,2d,sparse,5,75,1,gpu_source,2065,2.065,gpu_us,1,0,0,1,1463315848,2,2,2,1000,1000,4,1,117,1,block_random,1024
tile_sweep_publication,image,2d,sparse,5,100,1,cpu_source,20066230,20066.23,cpu_us,,,,,,,2,2,1000,1000,4,1,118,2,block_random,1024
